GeneName,X10.CR.RNA,X11.WTS.RNA,X12.EA.RNA,X13.CL.RNA,X14.KD.RNA,X15.SJ.RNA,X16.HZ.RNA,X17.CE.RNA,X18.RL.RNA,X19.DR.RNA,X1.VT.RNA,X20.MCC.RNA,X2.LN.RNA,X3.AS.RNA,X4.TL.RNA,X5.BE.RNA,X6.HA.RNA,X7.HH.RNA,X8.CN.RNA,X9.GC.RNA
RP11-367G6.3,2,0,1,3,2,0,0,0,3,0,2,0,0,2,0,0,4,0,0,1
ASS1P1,0,0,3,2,1,0,2,0,3,0,1,2,0,4,2,1,1,2,0,4
RN7SL334P,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
RP3-425P12.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP3-425P12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CMAHP,24,86,50,143,53,77,99,248,31,21,57,42,190,105,54,24,50,47,57,158
RP3-425P12.4,2,5,12,2,0,1,10,6,4,4,2,6,8,0,0,11,10,4,10,1
RP11-191A15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KATNBL1P5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RP3-522P13.1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
RP3-522P13.2,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0
CARMIL1,40,108,152,513,456,103,349,466,126,96,258,123,113,432,350,86,323,342,272,251
SCGN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
PRELID1P2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2APS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLC17A4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
SLC17A1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SLC17A3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SLC17A2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0
TRIM38,2107,1596,2026,1960,2979,1625,1700,1894,2676,1873,2150,2017,1958,2303,1663,1913,3191,2609,2009,1651
U91328.19,11,72,85,61,40,36,80,109,46,63,70,93,134,62,49,53,112,97,89,52
U91328.22,0,0,0,2,0,0,2,0,0,1,0,4,2,0,0,4,0,2,0,2
HIST1H1A,0,0,2,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,2,0
HIST1H3A,2,1,1,1,2,11,1,4,0,0,7,0,5,4,4,0,1,2,8,3
HIST1H4A,0,3,0,0,0,2,0,1,1,2,0,3,2,2,0,0,2,0,2,4
HIST1H4B,0,1,0,0,0,0,1,0,0,2,1,0,10,0,2,0,2,0,2,6
HIST1H3B,0,2,1,0,0,10,4,0,0,0,6,0,4,1,2,0,4,2,2,2
HIST1H2AB,0,0,2,0,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0
HIST1H2BB,0,0,0,1,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,1
HIST1H2APS5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
HIST1H3C,4,4,4,4,0,12,2,2,1,4,4,4,5,2,4,0,4,5,9,8
HIST1H1C,694,270,474,510,1417,1394,932,1467,445,615,1126,530,541,2088,352,271,1739,1590,849,971
HFE,742,624,615,671,705,1003,753,1161,789,707,1023,880,700,1135,804,1004,1029,1025,1073,449
HIST1H4C,3,16,11,2,4,14,13,0,7,7,19,10,30,6,3,4,6,3,13,7
HIST1H1T,0,0,0,2,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0
HIST1H2BC,14,24,20,15,42,31,27,126,8,12,60,17,24,107,7,0,40,60,16,22
HIST1H2AC,418,195,422,491,1672,1055,1264,5470,373,795,1422,795,368,3026,610,492,1448,1603,853,857
HIST1H1E,10,17,4,8,6,17,11,1,2,0,2,12,13,2,4,2,7,2,22,9
HIST1H2BD,62,38,95,138,317,239,315,761,89,123,298,135,68,439,137,102,189,342,273,125
RP1-221C16.8,2,6,2,2,3,8,1,3,3,1,0,0,0,4,2,4,6,2,7,4
LARP1P1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
HIST1H2BE,2,0,2,2,4,2,2,9,4,2,13,7,2,2,0,6,3,8,10,4
HIST1H4D,0,3,0,1,2,2,2,6,1,0,1,0,2,1,0,0,1,0,1,1
HIST1H1PS1,0,1,1,1,1,2,2,17,3,2,2,0,0,2,0,1,2,3,0,6
HIST1H3D,3,1,5,6,8,11,10,51,12,4,26,4,12,37,11,8,5,8,18,18
HIST1H2AD,1,2,3,4,5,10,7,15,1,2,12,0,6,18,4,2,7,1,3,3
HIST1H2BF,0,8,2,0,0,2,4,2,2,0,4,2,4,0,4,0,0,0,2,0
RP1-34B20.4,0,0,2,1,0,5,3,3,4,2,1,2,0,3,2,0,0,0,1,0
HIST1H4E,4,16,4,6,4,18,12,8,10,8,21,12,18,10,2,4,6,6,16,8
HIST1H2BG,38,20,21,14,30,122,68,130,28,47,146,28,29,104,40,17,29,41,90,92
HIST1H2AE,5,9,7,5,12,25,33,20,8,13,49,6,14,11,10,10,11,7,38,25
RP1-34B20.19,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
HIST1H3E,12,8,16,4,24,27,34,93,20,25,44,8,10,30,18,6,6,37,16,19
HIST1H2APS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HIST1H1D,0,2,0,1,2,6,1,0,4,0,2,0,8,2,7,1,0,0,2,8
HIST1H4F,2,1,0,0,1,0,4,0,2,0,0,0,6,1,0,0,0,0,1,3
HIST1H3F,0,1,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,4,1
HIST1H2BH,8,31,11,8,22,45,21,26,8,8,20,14,19,28,6,6,14,4,46,32
HIST1H3G,0,10,0,2,2,20,8,6,3,2,12,2,13,14,0,2,9,4,16,4
HIST1H2APS4,0,1,0,0,0,6,3,4,0,3,0,2,0,0,0,2,0,0,0,0
HIST1H2BI,2,4,3,0,2,7,1,0,0,3,2,0,1,2,0,0,1,1,8,1
HIST1H4H,87,28,48,49,194,147,96,276,65,78,265,48,46,240,77,46,136,175,119,138
HIST1H3PS1,1,5,2,2,2,5,2,1,2,6,4,0,2,0,2,1,3,1,6,0
BTN3A2,453,601,771,1946,1138,1993,975,1240,1258,711,1410,1033,1190,946,1281,1113,1364,2828,2885,1194
BTN2A2,72,277,232,369,409,560,460,786,338,334,565,314,471,727,232,76,370,373,448,243
BTN3A1,108,232,242,534,286,412,311,843,156,164,369,276,341,392,364,176,383,711,340,348
BTN2A3P,28,104,87,99,68,91,78,139,57,67,77,63,135,108,65,37,72,59,108,69
BTN3A3,97,242,215,579,624,391,418,730,210,286,609,303,333,556,382,236,433,827,423,236
BTN2A1,677,2183,1713,2169,2157,1363,1541,3576,1151,1180,2158,1542,2833,3526,1867,564,2089,1691,2609,1872
BTN1A1,0,2,2,4,0,0,0,2,0,2,2,0,0,0,0,2,0,3,0,0
RNU6-502P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCG11,419,472,395,408,450,747,603,899,634,332,645,543,610,758,695,414,517,499,618,520
CTA-14H9.5,52,62,76,59,116,144,128,150,69,77,113,132,125,144,166,69,142,87,124,109
HMGN4,525,3212,1716,2085,1681,2503,1544,3859,754,1034,2520,1423,2916,3537,1297,543,1991,1847,2335,1996
ABT1,589,2045,1347,1684,1144,1188,1476,1474,826,928,1662,1541,2188,1878,810,828,1564,1298,1836,1573
RP11-457M11.7,2,0,2,2,0,0,0,0,0,0,2,4,2,0,2,4,0,0,0,2
RP11-457M11.6,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0
ZNF322,122,243,171,230,117,98,200,330,126,119,256,208,256,228,127,116,203,136,274,212
RP11-457M11.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GUSBP2,13,1,17,9,7,30,2,2,20,9,7,9,10,11,10,24,4,10,11,11
POM121L6P,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LINC00240,2,4,6,7,0,2,6,17,8,8,4,9,6,4,10,5,4,12,11,5
RP11-239L20.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
VN1R12P,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
RP1-86C11.7,16,7,12,5,35,53,16,96,18,9,46,6,11,48,22,15,42,29,41,37
HIST1H2BJ,24,20,21,10,77,140,54,172,22,21,102,35,39,92,25,11,68,44,50,65
HIST1H2AG,14,77,21,42,64,121,57,180,22,26,110,31,49,108,24,14,59,56,70,38
HIST1H4I,32,20,28,34,135,96,73,179,35,44,105,24,56,120,39,24,76,96,65,77
HIST1H2BK,135,143,258,335,693,658,475,1262,132,278,807,174,304,998,249,120,509,714,365,516
HIST1H2AH,2,0,0,0,0,1,0,0,0,4,1,1,1,0,0,0,1,2,0,4
RPL10P2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
PRSS16,0,0,0,2,0,0,0,0,2,0,2,0,0,2,1,0,0,2,0,0
XXbac-BPGBPG24O18.1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
POM121L2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0
VN1R10P,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZNF204P,0,8,0,0,0,4,2,2,2,2,12,6,6,0,0,0,4,8,2,4
ZNF391,36,32,18,13,6,59,46,49,29,38,91,72,57,42,26,20,72,39,24,37
RP1-153G14.4,2,2,2,2,0,2,1,6,0,2,4,0,0,0,0,2,2,2,4,0
ZNF184,34,252,122,154,98,168,166,274,70,78,221,72,256,182,58,40,116,67,144,231
XXbac-BPGBPG34I8.1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
HNRNPA1P1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
RP1-15D7.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
LINC01012,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR89P,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0
RSL24D1P1,0,0,2,0,0,0,0,4,0,0,4,2,0,0,0,0,2,0,0,0
HIST1H4PS1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BL,0,4,5,1,0,2,0,0,0,2,5,0,8,4,3,2,1,2,4,2
HIST1H2AI,0,4,2,0,2,7,0,4,0,0,5,2,2,5,3,2,0,0,4,2
HIST1H3H,4,8,15,17,42,82,34,65,2,16,49,19,17,37,19,8,67,62,51,20
HIST1H2AJ,0,7,2,2,0,5,1,1,2,4,2,2,8,1,0,3,7,1,4,1
HIST1H2BM,2,0,1,1,0,7,2,0,0,0,3,4,8,2,2,0,2,0,3,0
HIST1H4J,0,6,9,6,2,3,7,10,4,2,8,2,7,9,6,8,8,6,9,14
HIST1H4K,0,1,0,0,0,3,1,0,0,1,0,0,0,0,1,0,5,2,0,1
HIST1H2BN,8,19,18,17,52,33,25,59,22,23,42,21,39,69,26,9,48,24,34,22
HIST1H2BPS2,0,0,0,0,0,6,1,1,1,0,2,0,1,0,0,0,0,0,0,2
HIST1H2AL,3,2,0,0,2,6,2,0,0,0,7,2,3,3,2,2,4,2,1,2
HIST1H1B,8,24,5,2,4,24,7,5,2,0,4,2,20,7,4,0,6,0,14,7
HIST1H3I,0,2,3,0,5,4,3,0,2,2,2,0,4,0,0,1,0,0,5,0
HIST1H4L,0,0,0,0,0,2,0,0,2,0,0,0,6,0,3,0,0,0,1,3
HIST1H3J,4,8,3,1,4,6,1,7,6,0,7,2,12,8,0,0,4,0,11,13
HIST1H2BO,4,6,2,2,4,6,4,1,2,2,4,3,2,3,0,2,4,2,14,18
OR2B2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
OR2W6P,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0
OR2B6,0,2,0,1,2,5,0,3,1,1,1,1,6,4,1,0,3,2,0,10
IQCB2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OR2B8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OR1F12,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4
RP1-313I6.12,28,15,39,33,33,22,43,31,68,46,32,39,23,31,31,52,65,46,45,23
ZNF165,14,25,24,28,36,41,14,38,20,27,26,38,37,45,21,17,28,26,24,54
ZSCAN12P1,32,5,26,34,40,29,19,39,23,18,29,51,27,35,9,13,16,22,69,30
ZNF602P,4,14,2,5,7,16,15,11,16,22,12,8,19,4,10,16,16,11,13,7
ZSCAN16-AS1,324,180,474,647,466,415,490,364,609,593,498,538,286,400,455,635,555,556,475,321
ZSCAN16,32,49,40,48,18,44,56,71,45,37,76,34,78,29,28,37,15,41,56,74
RP1-265C24.8,0,0,2,6,0,0,0,2,0,2,0,0,2,0,2,0,0,2,4,2
ZKSCAN8,240,542,430,488,368,428,337,999,352,286,643,471,534,602,378,285,448,496,448,524
ZNF192P1,8,12,4,20,8,23,18,26,9,15,18,4,14,6,18,11,20,19,22,2
AL022393.9,4,2,2,6,2,8,6,6,6,8,2,8,12,8,8,0,2,4,11,4
ZNF603P,6,0,2,2,1,5,3,0,0,0,13,2,0,1,10,0,5,0,6,0
ZNF192P2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
TOB2P1,38,2,28,12,27,26,26,31,73,55,17,23,8,16,15,44,29,22,15,20
ZSCAN9,137,280,250,326,213,259,270,234,176,202,483,253,399,309,182,125,277,217,379,350
ZKSCAN4,84,201,182,219,142,209,153,229,124,170,280,179,214,192,108,109,144,103,248,197
NKAPL,1193,239,580,325,495,734,429,609,979,694,584,640,472,597,485,505,1016,703,690,486
ZSCAN26,224,391,348,446,360,474,380,737,316,275,468,347,454,458,256,290,357,352,552,525
PGBD1,246,581,383,477,350,549,477,396,336,347,673,384,869,436,360,281,305,296,816,755
RP5-874C20.7,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0
ZSCAN31,10,34,18,80,54,20,17,46,12,14,26,19,10,16,6,16,40,44,32,62
ZKSCAN3,35,55,70,124,69,124,65,204,64,82,133,59,86,95,39,21,70,41,121,122
ZSCAN12,62,132,83,113,64,106,81,125,51,45,173,101,167,128,50,56,87,49,169,131
ZSCAN23,6,4,2,1,0,3,2,0,7,3,5,4,1,3,1,3,3,3,4,1
COX11P1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
OR2E1P,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
GPX6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0
ZBED9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
HCG14,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
TRIM27,300,717,776,1104,690,512,622,699,345,726,1044,554,993,911,455,365,751,647,933,801
HCG15,2,1,0,0,0,0,1,0,0,0,0,0,2,3,2,1,0,2,0,0
HCG16,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZNF311,0,9,2,0,6,3,0,10,2,8,2,5,10,4,0,3,2,2,5,16
GABBR1,46,77,97,97,75,63,50,127,49,34,98,48,114,117,90,30,106,100,94,58
MOG,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFP57,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2
HLA-F,35,76,11,127,26,3,27,2,21,28,33,22,12,55,84,84,42,47,42,111
HLA-F-AS1,0,3,1,0,0,0,0,0,2,4,0,2,0,0,2,1,0,0,0,3
RPL23AP1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
IFITM4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
XXbac-BPG170G13.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
HLA-V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HLA-P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HLA-G,0,2,3,2,0,0,2,3,13,2,2,2,6,4,3,2,2,2,2,3
HCP5B,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
HCG4P7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLA-H,50,57,72,277,6,0,20,102,188,404,59,7,85,161,129,63,8,2,1,22
HLA-K,2,0,3,0,0,0,2,0,18,5,0,0,0,1,27,0,0,0,0,4
HLA-U,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HLA-A,823,605,860,1302,19,6,10939,1810,2283,9543,1447,20,1506,3725,15953,1408,53,75,8,15462
HCG4P5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HLA-W,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX39BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZNRD1ASP,1,0,5,1,0,1,5,1,0,0,0,0,2,4,0,0,1,2,1,4
HLA-J,0,1,1,2,0,0,1,0,1,1,1,0,2,1,0,0,2,0,0,3
HCG4P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ZNRD1,187,324,463,445,281,335,414,275,345,322,434,528,525,364,252,362,237,1,160,479
PPP1R11,58,424,255,400,286,147,374,705,129,348,528,150,402,538,225,106,203,83,101,280
RNF39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
TRIM10,3,2,0,0,2,0,3,3,0,0,0,2,0,0,2,0,0,0,0,0
TRIM15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
TRIM26,11,236,118,203,118,47,116,157,37,56,189,70,172,280,62,27,102,104,64,127
PAIP1P1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCG17,1,0,0,1,0,0,1,6,3,5,2,4,5,5,4,0,5,5,4,1
HLA-L,1,20,30,22,26,9,12,13,4,18,8,24,16,9,16,6,22,11,2,10
XXbac-BPG283O16.9,0,0,0,6,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,22
HCG18,36,73,63,62,54,52,63,119,25,34,59,39,124,82,19,19,53,33,50,59
TRIM39,35,132,100,118,133,59,79,150,29,51,114,39,159,92,78,12,87,71,39,96
RPP21,154,237,463,822,513,476,247,824,472,531,427,520,693,256,367,306,644,472,325,336
HLA-E,1143,2416,3151,3028,3123,3580,2656,5554,1315,2423,3166,2475,3636,5015,1752,949,2824,3570,2669,2144
XXbac-BPG249D20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
GNL1,1892,3076,4083,3527,3154,3979,3330,3048,2826,3720,3649,3412,3548,4236,2722,2223,4086,3819,3829,2755
PRR3,14,58,45,89,50,52,37,94,22,40,92,46,47,92,24,32,60,48,57,68
ABCF1,4349,4270,4530,4445,4405,4767,4009,4076,5891,5181,5766,4320,6043,5642,4138,5140,5144,3962,5640,4912
PPP1R10,124,438,368,772,444,403,317,733,217,319,646,319,634,783,290,161,438,409,608,456
MRPS18B,282,810,681,938,780,1023,769,1046,488,733,1282,673,1018,1237,581,324,751,754,1128,882
ATAT1,45,113,149,168,140,164,112,165,77,116,165,106,133,224,119,62,175,142,193,147
PTMAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C6orf136,33,163,83,113,114,100,154,171,49,100,225,77,186,170,80,33,83,61,175,127
DHX16,612,1204,1399,1842,1097,1061,1236,1163,693,1169,1991,1054,1647,1962,892,553,1318,1367,1374,1754
PPP1R18,224,275,1045,1081,1201,1076,826,1644,385,460,1461,891,281,1949,1019,314,756,1292,1307,620
NRM,12,166,67,101,59,139,93,125,40,69,156,53,163,108,36,24,62,38,114,152
MDC1,160,477,274,262,248,298,306,347,171,206,321,222,450,289,169,138,277,218,345,349
TUBB,238,2464,1989,3238,1586,1442,2099,3068,394,1349,3721,1148,3399,3710,831,277,1879,1622,2067,2463
FLOT1,3582,6204,7029,10724,7696,9033,7374,10861,5228,6890,11208,7195,9072,12127,6455,5026,10186,9010,8984,5214
XXbac-BPG252P9.10,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0
IER3,0,2,0,127,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDR1,141,332,620,722,652,347,444,789,256,277,873,412,276,1213,461,198,562,527,484,539
GTF2H4,199,486,416,531,565,588,510,443,285,436,898,382,550,502,246,331,511,350,562,758
VARS2,596,725,699,667,673,870,642,782,567,683,1114,720,954,863,713,455,557,973,924,962
SFTA2,1,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,2,2,0,0
HCG22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6orf15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
PSORS1C1,1,2,29,8,10,4,17,6,15,21,7,6,7,5,16,34,19,32,13,13
PSORS1C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
CCHCR1,981,772,618,601,1316,549,726,972,1112,569,1440,533,824,1601,342,450,512,746,842,573
TCF19,107,34,48,25,364,334,46,446,135,50,264,62,72,501,71,14,40,30,286,114
POU5F1,2,0,0,2,14,1,2,4,0,4,4,0,2,4,28,0,2,11,2,2
PSORS1C3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
XXbac-BPG299F13.17,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0
XXbac-BPG299F13.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLA-C,4678,4,145,277,7454,7,10,7754,77,346,11362,144,253,5,1,8,292,238,5,5
HLA-B,2475,4305,95,1831,13636,910,85,12,82,3215,518,145,246,9,1139,6942,659,1465,12,6187
RPL3P2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4
MIR6891,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFR3P1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HLA-S,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XXbac-BPG181B23.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MICA,154,607,69,192,1867,68,105,759,79,804,110,320,331,403,64,105,125,75,63,505
HCP5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LINC01149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICB,0,5,0,4,5,2,14,38,0,2,16,2,22,18,0,4,4,4,6,6
PPIAP9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DDX39B,3205,5890,5413,5928,5224,4467,5065,5046,2904,5363,8038,5324,6811,7510,4848,3250,6438,5402,7221,7282
DDX39B-AS1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
ATP6V1G2,0,10,32,20,0,6,14,10,12,18,42,7,6,18,14,20,14,28,13,2
NFKBIL1,96,125,162,69,283,154,186,309,161,219,187,189,225,228,226,185,186,177,358,157
LTA,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0
TNF,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
LTB,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,2,2,8
LST1,4,0,2,2,0,3,2,0,4,4,0,2,0,0,2,2,7,0,3,2
NCR3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AIF1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
PRRC2A,2286,4224,4173,3658,4015,4438,4303,6384,3071,1291,4864,4389,1652,5066,1424,2063,5018,3458,5409,4376
BAG6,3467,6345,6658,8031,6274,6040,6691,7868,4749,5363,10186,6448,5266,9723,4512,4044,7345,6883,7891,8099
APOM,79,46,65,95,61,62,66,85,54,66,70,88,62,101,68,79,120,121,58,57
C6orf47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPANK1,139,221,202,82,259,300,222,281,187,50,303,218,114,76,41,199,276,230,413,358
CSNK2B,3106,5249,6893,2196,3319,4488,3326,4078,1208,3691,3865,2029,6488,1633,3886,592,2133,3309,3212,1026
LY6G5B,7,25,21,7,21,15,12,14,8,6,13,15,32,24,20,7,7,11,19,18
LY6G5C,10,21,29,31,15,44,21,27,11,12,35,17,17,39,4,14,19,23,28,12
ABHD16A,252,742,757,1031,838,774,948,1329,314,551,1221,740,798,1314,484,283,754,765,770,863
LY6G6C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DDAH2,3050,3312,5611,4212,4639,4705,5052,5533,4478,4078,5649,4262,3970,7086,5214,3511,4501,3593,4676,2415
CLIC1,4427,14729,12362,14622,13023,14204,12652,12381,6386,12241,15945,10509,16372,18842,8801,4877,13377,12107,16385,12606
MSH5,45,276,94,137,90,214,104,124,68,94,149,84,218,147,116,47,126,83,188,119
SAPCD1,3,42,17,8,19,15,18,19,12,8,21,13,30,25,35,15,11,16,8,15
VWA7,4,7,46,8,11,21,19,33,14,11,12,5,10,29,8,10,8,31,12,6
VARS,3122,4472,4635,4668,5586,5791,4756,5110,3376,4951,7521,3757,6705,6070,4050,2097,5552,4542,6652,6614
LSM2,486,1248,625,887,871,1200,795,962,714,796,1373,951,1497,906,748,514,957,703,1652,1525
HSPA1L,0,0,0,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0
HSPA1A,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0
HSPA1B,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
C6orf48,1033,2050,2262,2756,1871,1353,1579,3551,1226,1230,2495,2185,2361,2917,1278,1027,2203,1705,1645,2780
NEU1,60,285,199,291,200,323,328,551,114,274,541,218,403,514,165,50,246,266,293,352
SLC44A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0
EHMT2,647,824,1022,1104,946,1350,1275,1655,901,1048,1719,1297,1159,1648,1011,715,1357,1404,1320,1166
C2,27,28,25,26,97,8,24,41,18,2,7,24,62,26,2,46,119,229,2,16
ZBTB12,1,4,1,4,0,4,5,15,1,5,9,4,9,7,4,2,4,4,5,4
CFB,356,648,303,477,540,157,697,697,467,351,119,780,665,502,364,966,403,1003,207,708
NELFE,5599,6542,6880,6497,6825,8260,5915,6482,6226,6768,7206,7308,8291,7487,5488,5200,7716,6429,8396,7711
SKIV2L,764,1120,1593,1705,1390,1314,1491,1386,991,1510,2569,1141,1563,1865,962,652,1595,1351,1516,1716
DXO,138,250,280,258,237,209,202,472,195,225,320,303,268,339,197,160,305,305,233,246
STK19,336,440,691,492,621,407,279,521,361,420,479,578,590,615,304,249,421,387,323,539
